Timestamp,X,Y,Z
0.009,-0.35671997,0.6703491,9.727936
0.03,-0.26335144,0.5949249,9.829697
0.05,-0.26335144,0.5949249,9.829697
0.071,-0.019134521,0.6715393,9.674072
0.093,-0.019134521,0.6523895,9.603439
0.114,-0.3519287,0.67274475,9.66449
0.135,-0.3519287,0.67274475,9.66449
0.156,-0.22624207,0.6643524,10.039185
0.177,-0.22624207,0.6643524,10.039185
0.198,0.09577942,0.67752075,9.551971
0.219,0.09577942,0.67752075,9.551971
0.24,-0.0335083,0.63323975,9.735123
0.261,0.0814209,0.6284485,9.745895
0.285,-0.22384644,0.63323975,9.762665
0.306,-0.13764954,0.6499939,9.605835
0.326,-0.13764954,0.6499939,9.605835
0.347,-0.16040039,0.65119934,9.64415
0.368,-0.301651,0.6212616,9.712387
0.389,-0.33638,0.6104889,9.6944275
0.41,-0.20828247,0.6499939,9.562744
0.431,-0.15560913,0.62246704,9.62619
0.453,-0.16758728,0.6523895,9.6549225
0.474,-0.19511414,0.6499939,9.809341
0.497,-0.19511414,0.6499939,9.809341
0.518,-0.1711731,0.6416168,9.597458
0.539,-0.1711731,0.6416168,9.597458
0.56,-0.16519165,0.63442993,9.747101
0.582,-0.16519165,0.63442993,9.747101
0.602,0.33639526,0.67752075,9.688431
0.623,0.8547363,0.83314514,9.759064
0.644,0.65122986,0.77809143,9.6549225
0.665,1.2952728,-0.36035156,9.482544
0.686,-1.0462494,0.5997162,9.695618
0.706,-1.5310822,0.67633057,9.72435
0.727,-0.59854126,1.4305115,9.550766
0.748,-0.59854126,1.4305115,9.550766
0.769,-0.15441895,2.3953705,11.393112
0.79,-0.48960876,2.6898499,8.899551
0.811,-0.60572815,2.231369,9.964966
0.832,-0.60572815,2.231369,9.964966
0.853,-0.36151123,1.4592285,9.493317
0.874,-0.061035156,0.73139954,9.737518
0.896,-0.13645935,-0.32444763,8.485352
0.917,-0.13645935,-0.32444763,8.485352
0.938,-0.18792725,-3.0550385,10.193619
0.959,-0.18792725,-3.0550385,10.193619
0.979,-0.3471527,-1.9201813,10.643723
1.0,-0.13885498,-3.4033813,8.910324
1.021,-0.0059661865,-3.1603699,11.01123
1.042,0.20950317,-2.5426788,8.285431
1.063,0.10057068,-1.1983337,9.330505
1.084,0.077819824,0.045455933,10.000885
1.106,-0.05265808,1.4364929,9.786606
1.127,-0.40820312,2.5785217,8.904343
1.148,-0.58895874,3.6044464,10.705978
1.169,-0.3698883,3.9252625,10.492889
1.19,-0.32081604,4.6219788,10.688019
1.211,-0.32081604,4.6219788,10.688019
1.232,-1.7262115,3.7325287,9.713577
1.253,-0.2106781,3.697815,9.960175
1.274,-0.2106781,3.697815,9.960175
1.297,-0.17356873,2.452835,8.942642
1.318,-0.17356873,2.452835,8.942642
1.339,-0.33158875,1.0570068,8.473373
1.362,-0.1819458,-0.32803345,9.745895
1.383,-0.48721313,0.37945557,7.9478607
1.404,-0.080200195,0.3076172,10.331284
1.425,0.27294922,-0.1053772,9.174881
1.446,0.21308899,-1.357544,9.419098
1.467,0.21308899,-1.357544,9.419098
1.488,0.08381653,-2.7713165,9.84166
1.509,-0.4740448,-2.6970978,10.184036
1.531,-1.2018738,-3.069397,9.938629
1.551,-0.22503662,-3.5410614,9.1689
1.572,-0.2286377,-3.7625122,9.4023285
1.595,-0.2286377,-3.7625122,9.4023285
1.616,-0.023925781,-2.1703796,9.662109
1.637,0.08979797,-0.8356018,9.9517975
1.658,-0.0622406,-0.60575867,9.298187
1.679,-0.27651978,-0.1843872,8.029251
1.699,-0.341156,0.91934204,9.972153
1.72,-0.2501831,2.1942596,9.72316
1.742,-0.2501831,2.1942596,9.72316
1.764,-0.25257874,3.2381287,8.320145
1.785,-0.2908783,3.6966095,8.24234
1.806,-0.2908783,3.6966095,8.24234
1.827,-0.47044373,1.4532471,9.754272
1.848,-0.1532135,3.393753,9.429871
