Timestamp,X,Y,Z
0.004,2.3870392,2.0793304,9.735123
0.026,2.0302887,1.9775848,9.079117
0.046,2.0302887,1.9775848,9.079117
0.067,1.4317474,2.09729,8.887573
0.087,1.322815,1.915329,9.386765
0.108,1.5023804,1.7716827,9.522034
0.128,1.8459473,1.7285767,9.480148
0.149,1.8459473,1.7285767,9.480148
0.17,1.7274323,1.4987335,9.447815
0.191,1.7046814,1.4340973,9.42627
0.212,1.6974945,1.5131073,9.386765
0.232,1.4449158,1.6591492,9.21199
0.253,1.0187378,2.0218658,9.028839
0.273,1.1216888,2.2145996,9.110245
0.294,1.1863403,2.2648773,9.632172
0.314,1.3539276,2.2684784,9.885956
0.334,1.4904022,2.2241821,9.969757
0.355,1.4904022,2.2241821,9.969757
0.375,1.6065216,1.9057465,9.878784
0.396,1.2868958,1.8746338,9.662109
0.416,1.0247345,1.9644165,9.32811
0.437,1.1169128,1.9823608,9.166504
0.458,1.1169128,1.9823608,9.166504
0.478,0.58180237,2.2241821,8.55957
0.499,0.5123749,2.5713348,8.496124
0.519,0.6727905,2.8766022,8.933075
0.54,0.79489136,2.9137115,9.616608
0.56,0.79489136,2.9137115,9.616608
0.581,1.2509766,2.8969574,10.027222
0.601,1.2569733,2.7006226,9.905121
0.622,1.0977478,2.5940857,9.109039
0.642,1.1552124,2.576126,8.705612
0.663,1.1552124,2.576126,8.705612
0.683,1.0726166,2.710205,8.935455
0.704,1.118103,2.856247,8.929474
0.724,1.1264801,2.9172974,8.942642
0.745,1.2318268,2.9089203,9.118622
0.765,1.2006989,3.0370178,9.413101
0.786,1.1109161,3.1387634,9.37001
0.807,1.0103607,3.1040497,9.08989
0.827,1.0103607,3.1040497,9.08989
0.848,1.36232,3.1124268,9.428665
0.868,1.4724426,3.16391,9.815338
0.889,1.3886566,3.2524872,9.574707
0.909,1.4269562,3.4404297,9.155731
0.93,1.4269562,3.4404297,9.155731
0.95,1.7525635,3.7253418,9.38916
0.971,1.7525635,3.7253418,9.38916
0.991,1.8531189,4.0210266,10.13855
1.012,1.5873718,3.9779358,9.709991
1.032,0.89305115,3.2333374,9.94223
1.053,1.5406799,2.358261,11.04715
1.073,1.5406799,2.358261,11.04715
1.094,2.7365875,1.2629089,12.74942
1.114,2.4349213,0.6787262,12.183197
1.135,2.1667633,0.52549744,11.844421
1.156,1.951294,0.5530243,12.419022
1.176,2.0566254,0.8750458,12.014404
1.197,1.9895935,1.255722,10.63295
1.217,1.6843262,1.5969086,9.179672
1.237,1.6843262,1.5969086,9.179672
1.258,0.9313507,1.3203735,8.703217
1.278,0.9493103,1.0785522,8.899551
1.299,1.77771,0.7984314,8.403946
1.319,2.263733,0.9528656,7.7730713
1.34,2.263733,0.9528656,7.7730713
1.36,2.6072998,1.6711273,6.8297577
1.381,2.4337158,2.1379852,6.5999146
1.401,2.0566254,2.3654327,6.5436554
1.422,1.7669373,2.3570557,6.4383087
1.442,1.7669373,2.3570557,6.4383087
1.462,1.391037,2.4276886,6.435913
1.483,1.3096466,2.361847,6.912369
1.503,1.85672,2.3905792,7.7263947
1.524,2.2122498,2.552185,8.189667
1.544,2.2122498,2.552185,8.189667
1.565,1.9129791,3.0729218,8.454224
1.586,1.8950195,3.4619904,8.628998
1.606,2.0530396,3.6547241,9.793777
1.627,1.6795502,3.831894,10.837662
1.647,1.5466614,4.1084137,11.740265
1.668,1.9129791,4.0473633,12.681183
1.688,2.0997314,3.9372406,13.898636
1.709,2.0997314,3.9372406,13.898636
1.729,0.46328735,3.4428253,14.191925
1.75,-1.0235138,2.5090942,13.411423
1.771,-1.0235138,2.5090942,13.411423
1.792,-0.811615,0.32078552,12.372345
1.812,-0.811615,0.32078552,12.372345
1.833,-0.7816925,0.18312073,10.750259
1.854,-1.3706665,0.55062866,7.518097
1.876,-2.4181366,0.9061737,7.811386
1.897,-1.1528015,1.3083954,8.502106
1.918,0.6045532,1.5597839,8.48056
1.939,0.6045532,1.5597839,8.48056
1.96,1.4987793,1.9428711,7.8161774
1.98,1.9824066,2.3762207,6.052841
2.001,1.4149933,2.543808,5.542877
2.023,0.32562256,2.5976715,6.459854
2.044,0.108947754,2.3822021,6.8884125
2.066,0.05029297,2.270874,6.9375
2.087,-0.07659912,2.212204,7.126648
2.107,0.029937744,2.4863434,7.92511
2.129,0.106552124,2.7951965,8.450638
2.15,0.3483734,3.3554382,9.445419
2.17,0.41540527,3.9216766,10.7382965
2.191,0.6727905,4.4675446,10.758652
2.212,0.6727905,4.4675446,10.758652
2.234,0.45970154,4.7357025,10.476135
2.254,0.17837524,3.8809662,11.351212
2.276,1.4604797,3.354248,13.0056
2.296,3.505127,3.9815216,13.649643
2.317,3.505127,3.9815216,13.649643
2.338,2.770111,3.9623718,13.040314
2.36,1.0127563,2.1691132,13.55986
2.381,1.0127563,2.1691132,13.55986
2.402,2.2038727,0.35551453,12.15686
2.423,2.4995575,0.52789307,9.474152
2.444,1.6137085,1.092926,5.9379272
2.465,0.53152466,1.1671448,5.881653
2.485,-0.05265808,0.6308441,6.5484467
2.506,-0.05265808,0.6308441,6.5484467
2.527,-0.019134521,0.43930054,6.743576
2.548,0.7601776,0.9708252,6.28627
2.569,0.7601776,0.9708252,6.28627
2.59,1.2246399,2.5031128,5.952286
2.611,0.79608154,2.8335114,5.9079895
2.633,0.5231476,3.0585632,6.7986298
2.653,0.76734924,2.7844238,7.74794
2.674,1.2019043,2.4540253,8.086716
2.695,1.7058868,2.6276093,8.089111
2.715,2.050644,2.8622437,8.318954
2.736,2.050644,2.8622437,8.318954
2.757,2.2445831,3.0525818,8.557175
2.778,2.5139313,3.2129822,10.453384
2.799,2.2397919,3.34227,11.895889
2.82,1.7118683,3.2153778,12.495636
2.84,1.6268768,3.361435,13.582611
2.863,1.6268768,3.361435,13.582611
2.884,1.8938293,4.2616425,13.981247
2.905,0.080215454,2.49234,13.71907
2.925,-1.0989227,0.5219116,14.597748
2.946,-1.0989227,0.5219116,14.597748
2.967,-0.51474,-0.34120178,14.013565
2.988,0.16281128,-0.45013428,12.652466
3.008,0.023956299,0.32917786,8.338104
3.029,-1.9333038,0.6883087,6.657379
3.05,-2.5067139,0.9360962,6.683716
3.072,-0.9409027,1.0665894,7.4929504
3.093,-0.9409027,1.0665894,7.4929504
3.113,1.6639862,1.5717621,6.7507477
3.134,1.5909576,2.191864,5.280716
3.155,0.69792175,2.4193115,5.680542
3.176,0.69792175,2.4193115,5.680542
3.199,-0.2693329,1.9189148,6.9434814
3.22,-0.2693329,1.9189148,6.9434814
3.24,0.61891174,2.01828,7.3457184
3.261,0.7517853,1.9847565,8.450638
3.284,1.3443604,2.3917694,9.37001
3.305,1.8950195,3.1220093,10.386353
3.326,1.8950195,3.1220093,10.386353
3.346,1.9273376,3.5924683,10.544373
3.367,1.6711578,3.6259918,10.978912
3.387,1.6137085,3.611618,12.170029
3.409,2.1188812,3.366211,12.350784
3.43,3.4620209,3.800766,11.645691
3.45,3.0993042,3.6080322,11.77858
3.471,1.3659058,1.5753479,14.304459
3.492,1.3659058,1.5753479,14.304459
3.513,1.1396484,-0.2645874,16.391006
3.535,2.6599731,-0.28852844,11.528381
3.555,2.7078552,0.36029053,8.627808
3.576,1.3599243,1.1419983,6.2252197
3.597,-0.380661,0.9564514,6.510132
3.618,-0.5578308,0.77449036,7.466614
3.639,-0.5578308,0.77449036,7.466614
3.659,0.96128845,0.9420929,6.8405304
3.68,2.1440277,1.1408081,6.115097
3.701,2.1440277,1.1408081,6.115097
3.721,2.3259735,2.0613708,5.763138
3.742,1.643631,2.3678284,5.9163666
3.764,1.1552124,2.5952911,6.372467
3.785,1.1121216,2.370224,7.206848
3.805,1.1037445,2.2720642,7.7491302
3.826,1.1037445,2.2720642,7.7491302
3.847,1.6771545,2.4815521,8.934265
3.867,2.0721893,2.8921661,9.214386
3.888,2.0853577,3.2141876,9.56633
3.909,1.8878479,3.4871216,10.369583
3.93,1.6567993,3.4033203,12.86554
3.95,1.7681274,3.6403503,14.521133
3.971,1.7681274,3.6403503,14.521133
3.992,1.0259247,4.417267,15.487198
4.013,-0.53868103,3.0765228,14.123703
4.036,-0.53868103,3.0765228,14.123703
4.057,-0.017944336,0.41296387,13.012787
4.078,-0.017944336,0.41296387,13.012787
4.098,-0.24180603,0.6356354,8.515274
4.119,-1.1958923,0.92652893,6.407181
4.14,-2.6204376,0.6859131,5.991791
4.16,-2.7868347,0.519516,6.4335175
4.181,-0.17955017,1.0462341,7.6892853
4.202,1.1085205,1.8459015,7.804199
4.223,1.1085205,1.8459015,7.804199
4.244,1.1791534,2.1846771,7.0308685
4.264,0.3675232,2.709015,6.237198
4.285,0.3675232,2.709015,6.237198
4.306,-0.33277893,2.7784424,5.85054
4.327,0.20471191,2.519867,5.7463837
4.347,0.6428528,2.167923,6.68132
4.368,0.7697449,2.4073334,7.850891
4.389,0.88227844,2.967575,8.563156
4.409,1.0199432,3.7313385,9.3628235
4.43,0.81285095,4.1778564,10.419861
4.451,1.5011749,4.441208,11.564301
4.471,1.5011749,4.441208,11.564301
4.492,2.3259735,4.3155212,13.674789
4.513,2.5474396,3.5505676,14.694717
4.534,2.5474396,3.5505676,14.694717
4.555,1.267746,2.6240082,13.977646
4.576,0.5554657,1.3550873,14.345154
4.597,1.9740295,0.19030762,13.981247
4.618,3.0286713,0.31240845,10.59465
4.639,2.6779327,1.0318756,6.0899506
4.66,1.4269562,1.4592285,5.5907593
4.682,0.7637634,1.5909119,6.44429
4.703,1.1659851,1.3945923,7.270294
4.726,1.7202454,1.1815033,6.9794006
4.747,1.7202454,1.1815033,6.9794006
4.768,2.1548004,1.4496613,6.486191
4.788,1.8746796,1.7405548,6.6873016
4.809,1.070221,1.9811707,6.9901733
4.83,0.4429474,2.4468384,7.2248077
4.85,0.3890686,2.559372,7.2164307
4.871,0.3890686,2.559372,7.2164307
4.893,0.81762695,2.43367,7.7216034
4.915,1.6304626,2.7461243,8.486542
4.935,1.6304626,2.7461243,8.486542
4.956,1.1480255,3.3183289,10.745483
4.977,0.74819946,3.3949432,12.1736145
4.997,0.8918457,3.603241,12.444168
5.018,1.0402985,4.0006866,12.57106
5.039,1.1276855,4.9523773
5.06,-0.096954346,4.398117,12.496841
5.081,-0.096954346,4.398117,12.496841
5.101,-1.395813,2.2493286,13.029541
5.124,-1.2018738,1.4783936,13.664017
5.146,0.23104858,0.24656677,13.4617
5.166,0.38308716,0.23939514,10.559921
5.187,0.42738342,0.62605286,8.560776
5.208,-1.103714,1.3706512,6.1833344
5.229,-1.5657959,1.3239594,7.392395
5.249,0.7529907,1.6292267,8.612244
5.27,1.916565,2.0553894,7.74794
5.291,1.9632568,2.5928955,6.3269806
5.312,0.76257324,2.7425232,5.8804626
5.332,-0.28370667,2.6898499,5.85054
5.354,-0.28370667,2.6898499,5.85054
5.374,-0.33158875,2.734146,5.732025
5.396,0.027542114,2.6659088,6.0025635
5.417,0.027542114,2.6659088,6.0025635
5.438,0.5698395,2.710205,7.423523
5.46,1.3778687,3.484726,8.409927
5.48,1.825592,4.1479187,8.97496
5.501,1.9261475,4.8063354,10.1888275
5.522,1.6208801,4.527405,10.7933655
5.543,1.4006195,3.7037964,11.609787
5.564,2.342743,2.5162811,13.195938
5.585,4.1168365,2.8490753,14.123703
5.606,4.1168365,2.8490753,14.123703
5.626,2.0362854,2.4767761,14.239822
5.647,1.9081879,2.09729,14.209885
5.668,1.9081879,2.09729,14.209885
5.689,1.9081879,2.09729,14.209885
5.709,3.4165344,0.95884705,10.066727
5.73,2.955658,0.8487091,7.3708496
5.751,1.4425201,0.59732056,7.269104
5.771,0.3567505,0.48120117,7.8963776
5.797,0.5339203,0.7876587,7.4690094
5.818,1.1001434,1.4915619,6.5280914
5.838,0.97206116,2.1906586,5.241211
5.859,0.97206116,2.1906586,5.241211
5.88,0.0072021484,3.148346,5.257965
5.901,-0.1711731,2.9879303,6.0731964
5.922,0.3208313,2.4743805,7.35289
5.943,0.3208313,2.4743805,7.35289
5.963,0.7206726,2.282837,8.316559
